Image Name,PSNR (dB),SSIM
im_0032_s100_a05,14.5416,0.7422
im_0032_s100_a06,11.9591,0.6398
im_0032_s80_a04,16.7088,0.6645
im_0032_s80_a05,16.1681,0.6838
im_0032_s80_a06,16.0082,0.6446
im_0032_s85_a04,17.3071,0.7069
im_0032_s85_a05,19.2749,0.7238
im_0032_s85_a06,14.7848,0.6715
im_0032_s90_a04,17.1086,0.6301
im_0032_s90_a05,11.7133,0.6686
im_0032_s90_a06,14.2147,0.6721
im_0032_s95_a04,17.3687,0.6563
im_0032_s95_a05,14.5625,0.6546
im_0032_s95_a06,15.6249,0.6682
im_0033_s100_a04,14.8880,0.6400
im_0033_s100_a05,12.7142,0.6936
im_0033_s100_a06,15.2239,0.6854
im_0033_s80_a04,14.8871,0.6328
im_0033_s80_a05,11.1156,0.6212
im_0033_s80_a06,12.3518,0.5831
im_0033_s85_a04,11.7124,0.6183
im_0033_s85_a05,12.3469,0.5990
im_0033_s85_a06,15.2575,0.6885
im_0033_s90_a04,12.5740,0.6815
im_0033_s90_a05,16.8541,0.6079
im_0033_s90_a06,14.7190,0.6681
im_0033_s95_a04,15.6873,0.7305
im_0033_s95_a05,14.2170,0.6587
im_0033_s95_a06,14.8694,0.5922
im_0034_s100_a04,14.6229,0.6265
im_0034_s100_a05,14.8269,0.5530
im_0034_s100_a06,13.6838,0.5660
im_0034_s80_a04,12.4028,0.5918
im_0034_s80_a05,9.3622,0.5378
im_0034_s80_a06,11.5220,0.5560
im_0034_s85_a04,9.5572,0.5541
im_0034_s85_a05,14.2762,0.5392
im_0034_s85_a06,13.1376,0.5125
im_0034_s90_a04,11.6401,0.6248
im_0034_s90_a05,12.8062,0.5743
im_0034_s90_a06,15.0006,0.6831
im_0034_s95_a04,10.4456,0.5502
im_0034_s95_a05,10.7849,0.5831
im_0034_s95_a06,9.1038,0.5444
im_0035_s100_a04,16.2646,0.5546
im_0035_s100_a05,17.5374,0.4940
im_0035_s100_a06,15.4342,0.6838
im_0035_s80_a04,17.1505,0.6170
im_0035_s80_a05,18.2869,0.6097
im_0035_s80_a06,18.2618,0.5536
im_0035_s85_a04,17.9463,0.5334
im_0035_s85_a05,13.1940,0.6169
im_0035_s85_a06,18.1056,0.6215
im_0035_s90_a04,11.1073,0.5599
im_0035_s90_a05,15.3438,0.6202
im_0035_s90_a06,18.5659,0.5170
