Image Name,PSNR (dB),SSIM
rainstreak_rain-74,23.5347,0.6856
rainstreak_rain-89,21.1368,0.6033
rainstreak_raindrop_pie-rd-rain-100,15.9482,0.4430
rainstreak_raindrop_pie-rd-rain-104,17.2823,0.5664
rainstreak_raindrop_pie-rd-rain-108,17.8720,0.6208
rainstreak_raindrop_pie-rd-rain-109,17.0881,0.5202
rainstreak_raindrop_pie-rd-rain-110,16.0499,0.5012
rainstreak_raindrop_pie-rd-rain-113,18.4974,0.6292
rainstreak_raindrop_pie-rd-rain-118,17.4250,0.5536
rainstreak_raindrop_pie-rd-rain-124,16.7017,0.5553
rainstreak_raindrop_pie-rd-rain-128,15.8910,0.5045
rainstreak_raindrop_pie-rd-rain-138,18.3747,0.5607
rainstreak_raindrop_pie-rd-rain-143,18.4422,0.6085
rainstreak_raindrop_pie-rd-rain-163,15.8353,0.4667
rainstreak_raindrop_pie-rd-rain-173,16.1285,0.5192
rainstreak_raindrop_pie-rd-rain-174,16.3618,0.5411
rainstreak_raindrop_pie-rd-rain-180,16.0502,0.5240
rainstreak_raindrop_pie-rd-rain-182,16.4886,0.5672
rainstreak_raindrop_pie-rd-rain-19,17.7156,0.5321
rainstreak_raindrop_pie-rd-rain-212,15.8208,0.5093
rainstreak_raindrop_pie-rd-rain-213,15.9708,0.5214
rainstreak_raindrop_pie-rd-rain-216,15.9410,0.5115
rainstreak_raindrop_pie-rd-rain-223,16.0715,0.5176
rainstreak_raindrop_pie-rd-rain-225,16.1901,0.5311
rainstreak_raindrop_pie-rd-rain-228,15.4154,0.4610
rainstreak_raindrop_pie-rd-rain-229,17.0792,0.5078
rainstreak_raindrop_pie-rd-rain-234,17.8900,0.5630
rainstreak_raindrop_pie-rd-rain-236,16.5993,0.5011
rainstreak_raindrop_pie-rd-rain-237,18.0272,0.5526
rainstreak_raindrop_pie-rd-rain-264,19.9420,0.6588
rainstreak_raindrop_pie-rd-rain-268,21.2139,0.6927
