# NDR-Restore GT-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GT-Rain,,
,,,
# Overall Metrics,,,
Total Images,2100,,
Average PSNR (dB),21.2411,,
Average SSIM,0.5948,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
Gurutto_0-0-Webcam-R-228.png,Gurutto_0-0-Webcam-C-000.png,25.5677,0.7533
Gurutto_0-0-Webcam-R-229.png,Gurutto_0-0-Webcam-C-000.png,25.6974,0.7553
Gurutto_0-0-Webcam-R-230.png,Gurutto_0-0-Webcam-C-000.png,25.5379,0.7531
Gurutto_0-0-Webcam-R-231.png,Gurutto_0-0-Webcam-C-000.png,25.876,0.7694
Gurutto_0-0-Webcam-R-232.png,Gurutto_0-0-Webcam-C-000.png,25.6939,0.7668
Gurutto_0-0-Webcam-R-233.png,Gurutto_0-0-Webcam-C-000.png,25.6827,0.7593
Gurutto_0-0-Webcam-R-234.png,Gurutto_0-0-Webcam-C-000.png,25.6815,0.7592
Gurutto_0-0-Webcam-R-235.png,Gurutto_0-0-Webcam-C-000.png,25.7182,0.7626
Gurutto_0-0-Webcam-R-236.png,Gurutto_0-0-Webcam-C-000.png,25.6971,0.7595
Gurutto_0-0-Webcam-R-237.png,Gurutto_0-0-Webcam-C-000.png,25.762,0.7648
Gurutto_0-0-Webcam-R-238.png,Gurutto_0-0-Webcam-C-000.png,25.8571,0.764
Gurutto_0-0-Webcam-R-239.png,Gurutto_0-0-Webcam-C-000.png,25.9412,0.7635
Gurutto_0-0-Webcam-R-240.png,Gurutto_0-0-Webcam-C-000.png,25.9401,0.7635
Gurutto_0-0-Webcam-R-241.png,Gurutto_0-0-Webcam-C-000.png,25.8755,0.763
Gurutto_0-0-Webcam-R-242.png,Gurutto_0-0-Webcam-C-000.png,25.7246,0.7559
Gurutto_0-0-Webcam-R-243.png,Gurutto_0-0-Webcam-C-000.png,25.8091,0.7604
Gurutto_0-0-Webcam-R-244.png,Gurutto_0-0-Webcam-C-000.png,25.7733,0.7603
Gurutto_0-0-Webcam-R-245.png,Gurutto_0-0-Webcam-C-000.png,25.8108,0.7615
Gurutto_0-0-Webcam-R-246.png,Gurutto_0-0-Webcam-C-000.png,25.8108,0.7615
