# RLP Evaluation Results - RainDS_syn,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 04:56,,
,,,
# Summary,,,
Total Images,600,,
Failed,0,,
Average PSNR (dB),20.2807,,
Average SSIM,0.6775,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
rainstreak_rain-493.png,norain-493.png,22.4856,0.6367
rainstreak_rain-494.png,norain-494.png,23.0646,0.7812
rainstreak_rain-495.png,norain-495.png,20.3704,0.6535
rainstreak_rain-496.png,norain-496.png,21.6439,0.6683
rainstreak_rain-497.png,norain-497.png,22.0599,0.5873
rainstreak_rain-498.png,norain-498.png,20.0062,0.5572
rainstreak_rain-499.png,norain-499.png,19.6944,0.5421
rainstreak_rain-50.png,norain-50.png,19.3767,0.6393
rainstreak_rain-500.png,norain-500.png,18.9573,0.5117
rainstreak_rain-501.png,norain-501.png,24.5727,0.6831
rainstreak_rain-502.png,norain-502.png,20.9673,0.6085
rainstreak_rain-503.png,norain-503.png,23.2314,0.6517
rainstreak_rain-504.png,norain-504.png,22.4863,0.5926
rainstreak_rain-505.png,norain-505.png,23.1863,0.6664
rainstreak_rain-506.png,norain-506.png,23.5278,0.6184
rainstreak_rain-507.png,norain-507.png,20.9178,0.5514
rainstreak_rain-508.png,norain-508.png,22.0231,0.5565
rainstreak_rain-509.png,norain-509.png,25.305,0.702
rainstreak_rain-510.png,norain-510.png,19.222,0.5181
rainstreak_rain-511.png,norain-511.png,21.5548,0.6225
rainstreak_rain-512.png,norain-512.png,22.8391,0.6224
rainstreak_rain-513.png,norain-513.png,23.9279,0.66
rainstreak_rain-514.png,norain-514.png,18.7972,0.5283
rainstreak_rain-515.png,norain-515.png,23.2966,0.6837
rainstreak_rain-516.png,norain-516.png,24.4693,0.6726
rainstreak_rain-517.png,norain-517.png,21.0545,0.5549
rainstreak_rain-518.png,norain-518.png,19.9701,0.6387
rainstreak_rain-519.png,norain-519.png,20.0556,0.6435
rainstreak_rain-520.png,norain-520.png,20.7719,0.5954
rainstreak_rain-521.png,norain-521.png,17.9643,0.5349
rainstreak_rain-522.png,norain-522.png,24.97,0.7026
rainstreak_rain-523.png,norain-523.png,23.3986,0.6661
rainstreak_rain-524.png,norain-524.png,23.0876,0.6589
rainstreak_rain-525.png,norain-525.png,19.9973,0.6066
rainstreak_rain-60.png,norain-60.png,21.3264,0.7112
rainstreak_rain-61.png,norain-61.png,21.7457,0.6672
rainstreak_rain-62.png,norain-62.png,22.0779,0.707
rainstreak_rain-63.png,norain-63.png,22.1269,0.732
rainstreak_rain-64.png,norain-64.png,20.8289,0.6415
rainstreak_rain-65.png,norain-65.png,19.675,0.5978
rainstreak_rain-66.png,norain-66.png,21.4545,0.6979
rainstreak_rain-67.png,norain-67.png,20.872,0.7215
rainstreak_rain-68.png,norain-68.png,20.1605,0.6422
rainstreak_rain-69.png,norain-69.png,20.4811,0.6676
rainstreak_rain-70.png,norain-70.png,20.2273,0.714
rainstreak_rain-74.png,norain-74.png,20.2941,0.7728
rainstreak_rain-89.png,norain-89.png,21.8359,0.6881
rainstreak_raindrop_pie-rd-rain-100.png,pie-norain-100.png,17.8225,0.5151
rainstreak_raindrop_pie-rd-rain-104.png,pie-norain-104.png,19.1126,0.6263
rainstreak_raindrop_pie-rd-rain-108.png,pie-norain-108.png,19.3325,0.6723
rainstreak_raindrop_pie-rd-rain-109.png,pie-norain-109.png,18.0752,0.5508
rainstreak_raindrop_pie-rd-rain-110.png,pie-norain-110.png,18.2325,0.528
rainstreak_raindrop_pie-rd-rain-113.png,pie-norain-113.png,18.1738,0.6688
